number,value,state,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves
146,0.1245874751654427,COMPLETE,0.8536502809457261,5,0.8596410092976547,7.193617538534983,3.392087632688586,0.10365337194118095,16,111,2.6643734532989227,317
147,0.12666677114487204,COMPLETE,0.875603763271715,3,0.8698865174363298,1.2776858365992008,0.3350813161600884,0.11896634269222925,16,107,2.2912168166668705,329
148,1814.4988747552711,PRUNED,0.8237770151313044,4,0.8841514797545865,1.4986149644107105,0.3385032173373546,0.054242437875326455,15,466,4.487582962748486,333
149,1706.539991340981,PRUNED,0.854741505725968,6,0.9939526158392508,1.0940476790737441,1.0458469647986581,0.0633746675550318,13,112,2.684301098682111,234
150,1349.606874155327,PRUNED,0.8184824070577335,5,0.9200180881528984,2.2614224119434385,0.34986528485297047,0.09890566808779966,16,60,2.1234370973553647,314
151,0.12481827965243114,COMPLETE,0.8968609328846004,5,0.6402716827918934,1.9510493085116067,3.9252242687560765e-06,0.10932650813269831,16,102,0.4617371582404004,389
152,1505.6742738316575,PRUNED,0.7550522636248024,7,0.6359171016774614,0.3107617660913639,4.102041842198339e-06,0.08042065706096925,13,119,2.9002153576578125,463
153,1967.3796478410718,PRUNED,0.6991234282511092,1,0.7977191074229746,9.567339859591648,0.06569852911417912,0.045423418786755175,12,66,3.788754344574071,121
154,1345.3451473963464,PRUNED,0.7995907381241013,6,0.8901201562114188,1.1329443110742061,9.540952267013742,0.10193292973859551,14,121,3.6895837905424687,258
155,1345.495085230092,PRUNED,0.8459930459694303,7,0.6312591217434651,0.7371224088351154,0.0002980598855369758,0.1019446591582905,16,61,0.20027476358915475,248
156,1502.0567200908588,PRUNED,0.9150078075194856,7,0.7473133119607911,6.815603555197272,4.872281380529167,0.08229313916769128,15,189,2.2837748033530874,299
157,0.12485910809737903,COMPLETE,0.9086401443400391,6,0.6289363451304786,0.2570944233604353,1.645227436684203e-05,0.1436074147029091,14,123,0.7670869835091849,422
158,1547.761175760493,PRUNED,0.8981608380655478,4,0.6228781973510553,0.29944468899727167,9.794429994093593e-07,0.07568297242076513,15,96,0.04770618165179469,482
159,1482.7038375637883,PRUNED,0.8754845746969334,6,0.6670126357446291,2.276008584247364,0.0018310015480180253,0.08365420235832663,16,207,1.2382736299969044,411
160,950.3272607293305,PRUNED,0.7706253323634316,5,0.7823893184005853,4.958066479482252,6.561061777769006e-08,0.1447765529528687,12,284,0.3561970455711293,243
