Store,n,rmspe_lgbm,rmse_lgbm,mape_lgbm,mean_true
535,36.0,0.1623956045554027,1021.043937468436,10.182340763029345,8047.777777777777
786,36.0,0.1621189139076027,392.4035682305935,11.61652025403667,3158.75
907,36.0,0.161999974624688,980.9162935919788,10.63134777548334,6654.361111111111
445,36.0,0.1611762474453329,1316.214800594419,11.472557183885243,8656.0
1074,36.0,0.1610825036166642,717.1332085561083,12.891706534019296,5018.194444444444
265,36.0,0.1608583457873434,692.7848859943032,9.687130108299607,5376.944444444444
1109,36.0,0.1606076004312536,747.7351931905099,10.950603892824226,4835.527777777777
899,36.0,0.1605097057097302,677.3424922165398,12.178605872104246,4918.833333333333
629,36.0,0.160431152686081,964.9282481914496,12.224330962735998,6223.861111111111
927,36.0,0.1603208670139881,875.7518535247136,10.930613810560082,6293.138888888889
397,36.0,0.1599126326355222,713.1860586224996,9.574415152036414,5836.916666666667
563,36.0,0.1598767857475373,616.2226195502575,11.687027443461202,4336.111111111111
776,36.0,0.1597777752804171,727.966910963474,12.43373570766822,4750.305555555556
1112,36.0,0.1596288531550138,1257.9656661482816,10.809397464239767,8555.472222222223
286,36.0,0.1585904947137527,458.32395050763984,11.69476704372431,3663.472222222222
454,36.0,0.158351751615341,529.7267938535135,10.361015930846175,5890.722222222223
915,36.0,0.1582387976297858,898.5787147341184,11.62504550369828,6801.611111111111
757,36.0,0.1578466539433672,847.0117635034298,10.03927821371746,6946.416666666667
854,36.0,0.1577738748922692,868.0835057689453,12.386141564974732,5964.0
254,36.0,0.1577568326429743,480.92420774283033,12.787202251578783,3083.5555555555557
74,36.0,0.1577567210950799,774.4144796048869,10.794153955687596,5825.75
678,36.0,0.157550251297645,1110.7127695726442,11.492235600727062,7427.805555555556
1056,36.0,0.156974407317457,687.825177111788,12.560354654054748,4678.5
905,36.0,0.1566390526110209,848.3947711773034,10.250488438925496,6542.444444444444
1027,36.0,0.1565492148941196,1705.8098572970214,11.164276446107786,12365.527777777776
522,36.0,0.1564216778942969,1303.3598708313054,11.887453403276988,8826.638888888889
977,36.0,0.1563798043580159,730.99739741638,12.354498877505932,4440.111111111111
510,36.0,0.1561979238704237,887.9398695605427,9.15355218863317,8062.416666666667
715,36.0,0.1558877087871739,695.4250801707068,10.663759300487635,6237.388888888889
691,36.0,0.1558515471858768,1103.5061065046575,10.590545871767205,7988.277777777777
514,36.0,0.1557462515762682,853.4585495547369,12.24916785372076,5837.722222222223
836,36.0,0.1557158889517828,676.0049896684444,10.364651292203414,6103.861111111111
90,36.0,0.1555483998149502,1082.3915080156262,9.755907304880523,8310.444444444445
1088,36.0,0.1554819406543789,748.1970090401758,11.814420516696275,4887.166666666667
996,36.0,0.1552414012667191,945.643844789066,11.097984690515643,6962.694444444444
665,36.0,0.1544417435247259,902.228024759933,9.69564435659332,7893.027777777777
288,36.0,0.1543427170761794,749.3751595322203,12.670638655724566,5433.888888888889
630,36.0,0.1538075541273148,720.5848408012107,11.64729522028474,5893.5
526,36.0,0.1531155871315797,1101.446010073623,10.06042764929112,10336.527777777776
645,36.0,0.1528920909867113,1371.638703983433,9.680309205734178,10682.222222222224
137,36.0,0.1528757332607106,1031.6305068347192,10.49156639145826,7805.694444444444
253,36.0,0.1527040687447192,766.8078518581867,11.111726092205956,5535.722222222223
